Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Progress,Value
2013,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,117.03,82.97
2020,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,108.49,108.49
2010,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,130.86,69.14
2011,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,119.19,80.81
2016,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,131.51999999999998,68.48
2022,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,114.98,85.02
2018,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,104.59,95.41
2021,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,106.07,106.07
2015,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,124.4,75.6
2017,EU_XPD_LOCALGBPC,,,ES20010,PT,ES20010,109.14,109.14
2020,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,104.92,104.92
2022,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,113.26,113.26
2011,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,101.46,101.46
2017,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,106.2,93.8
2016,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,102.96,102.96
2023,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,111.51,111.51
2021,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,113.53,86.47
2019,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,101.07,101.07
2014,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,111.43,111.43
2013,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,108.32,108.32
2010,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,105.9,94.1
2012,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,104.87,95.13
2015,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,104.56,95.44
2018,EU_XPD_LOCALGBPC,,,ES20011,PT,ES20011,110.99,110.99
2012,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,154.2,154.2
2022,EU_XPD_LOCALGBPC,,,ES01049,PT,ES01049,153.14,46.86
